;Id;N_victimas;A�o;Mes;Dia;Hora;Calle;Altura;Cruce;Direcci�n;Comuna;Latitud;Longitud;Victima;Acusado
196;2017-0068;1.0;2017.0;5.0;27.0;19.0;RABANAL, FRANCISCO, INTENDENTE AV.;2950.0;SD;RABANAL, FRANCISCO, INTENDENTE AV. 2950;8.0;-58.43580656;-34.66437532;MOTO;OBJETO FIJO
197;2017-0069;1.0;2017.0;5.0;24.0;14.0;PAZ, GRAL. AV.;;SCHMIDL, ULRICO;PAZ, GRAL. AV. y SCHMIDL, ULRICO;9.0;-58.52173071;-34.65997463;MOTO;SD
198;2017-0070;1.0;2017.0;5.0;30.0;13.0;NUEVA YORK;3696.0;SD;NUEVA YORK 3696;11.0;-58.50791763;-34.59804273;PEATON;AUTO
199;2017-0072;1.0;2017.0;6.0;3.0;23.0;DE LOS CONSTITUYENTES AV.;;VALLEJOS;DE LOS CONSTITUYENTES AV. y VALLEJOS;12.0;-58.49175088;-34.58226957;AUTO;AUTO
200;2017-0073;1.0;2017.0;6.0;4.0;9.0;CORRIENTES AV.;;ECUADOR;CORRIENTES AV. y ECUADOR;3.0;-58.40781467;-34.60425669;MOTO;AUTO
201;2017-0074;1.0;2017.0;6.0;4.0;12.0;CASCO;133.0;SD;CASCO 133;9.0;-58.52567073;-34.63787791;SD;SD
202;2017-0075;1.0;2017.0;6.0;12.0;22.0;DE MAYO AV.;;9 DE JULIO AV.;DE MAYO AV. y 9 DE JULIO AV.;1.0;-58.381542;-34.60906385;PEATON;MOTO
203;2017-0076;1.0;2017.0;6.0;13.0;14.0;CASTILLO, RAMON S., PRES. AV.;;CALLE 12 (NO OFICIAL);CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL);2.0;-58.38526125;-34.5780581;PEATON;CARGAS
204;2017-0077;1.0;2017.0;6.0;17.0;23.0;FRAY JUSTO SANTAMARIA DE ORO;1930.0;SD;FRAY JUSTO SANTAMARIA DE ORO 1930;14.0;-58.42934104;-34.58451712;MOTO;CARGAS
205;2017-0079;1.0;2017.0;6.0;19.0;16.0;MEXICO;;DEAN FUNES;MEXICO y DEAN FUNES;3.0;-58.40657493;-34.61781124;MOTO;CARGAS
206;2017-0080;1.0;2017.0;6.0;22.0;10.0;ALBERDI, JUAN BAUTISTA AV.;;ESCALADA AV.;ALBERDI, JUAN BAUTISTA AV. y ESCALADA AV.;9.0;-58.49525314;-34.64487785;PEATON;CARGAS
207;2017-0082;1.0;2017.0;6.0;25.0;22.0;ENTRE RIOS AV.;;BRASIL;ENTRE RIOS AV. y BRASIL;4.0;-58.39092851;-34.62932696;PEATON;AUTO
208;2017-0083;1.0;2017.0;7.0;4.0;0.0;ALBERDI, JUAN BAUTISTA AV.;;GUARDIA NACIONAL;ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL;9.0;-58.49603546;-34.64564271;MOTO;CARGAS
209;2017-0084;1.0;2017.0;7.0;5.0;12.0;DEL LIBERTADOR AV.;;RODRIGUEZ PE?A;DEL LIBERTADOR AV. y RODRIGUEZ PEÑA;2.0;-58.38502878;-34.58703485;PEATON;PASAJEROS
210;2017-0085;1.0;2017.0;7.0;7.0;14.0;TACUARI;;GARCIA, MARTIN AV.;TACUARI y GARCIA, MARTIN AV.;4.0;-58.37261143;-34.63150425;PEATON;PASAJEROS
211;2017-0086;1.0;2017.0;7.0;9.0;7.0;RIVADAVIA AV.;;MURGUIONDO;RIVADAVIA AV. y MURGUIONDO;9.0;-58.51876802;-34.63905965;PEATON;MOTO
212;2017-0087;1.0;2017.0;7.0;10.0;10.0;24 DE NOVIEMBRE;390.0;SD;24 DE NOVIEMBRE 390;3.0;-58.41095567;-34.61516101;PEATON;AUTO
213;2017-0088;1.0;2017.0;7.0;10.0;22.0;PASEO COLON AV.;;BRASIL AV.;PASEO COLON AV. y BRASIL AV.;1.0;-58.36797542;-34.62519403;PEATON;PASAJEROS
214;2017-0089;1.0;2017.0;7.0;13.0;12.0;LEGUIZAMON, MARTINIANO;901.0;SD;LEGUIZAMON, MARTINIANO 901;9.0;-58.51514709;-34.64787051;SD;AUTO
215;2017-0090;1.0;2017.0;7.0;15.0;5.0;CHIVILCOY AV.;;PAZ, GRAL. AV.;CHIVILCOY AV. y PAZ, GRAL. AV.;11.0;-58.51925642;-34.59171721;PEATON;AUTO
216;2017-0091;1.0;2017.0;7.0;15.0;13.0;SUPERI;;PAZ, GRAL. AV.;SUPERI y PAZ, GRAL. AV.;12.0;-58.48671535;-34.54321216;MOTO;SD
217;2017-0092;1.0;2017.0;7.0;24.0;22.0;AUTOPISTA 25 DE MAYO;;AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI;AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI;1.0;-58.38268809;-34.62282019;PEATON;AUTO
218;2017-0093;1.0;2017.0;7.0;25.0;16.0;LUGONES, LEOPOLDO AV.;;PUENTE DISTRIBUIDOR SCALABRINI ORTIZ;LUGONES, LEOPOLDO AV. y PUENTE DISTRIBUIDOR SCALABRINI ORTIZ;13.0;-58.43633522;-34.54966288;PEATON;AUTO
219;2017-0094;1.0;2017.0;7.0;27.0;8.0;HUGO, VICTOR;2639.0;SD;HUGO, VICTOR 2639;10.0;-58.52640838;-34.61765855;BICICLETA;CARGAS
220;2017-0095;1.0;2017.0;8.0;6.0;8.0;CORDOBA AV.;;SALGUERO, JERONIMO;CORDOBA AV. y SALGUERO, JERONIMO;14.0;-58.41894306;-34.59778875;MOTO;AUTO
221;2017-0096;1.0;2017.0;8.0;7.0;19.0;CABILDO AV.;;NU?EZ;CABILDO AV. y NUÑEZ;13.0;-58.46756026;-34.54972741;PEATON;PASAJEROS
222;2017-0098;1.0;2017.0;8.0;8.0;12.0;BONIFACIO, JOSE;2114.0;SD;BONIFACIO, JOSE 2114;7.0;-58.45715752;-34.63132912;PEATON;AUTO
223;2017-0099;1.0;2017.0;8.0;17.0;19.0;FIGUEROA ALCORTA, PRES. AV.;5400.0;SD;FIGUEROA ALCORTA, PRES. AV. 5400;14.0;-58.42406784;-34.56213916;BICICLETA;AUTO
224;2017-0100;1.0;2017.0;8.0;21.0;7.0;REPUBLICA BOLIVARIANA DE VENEZUELA;2135.0;SD;REPUBLICA BOLIVARIANA DE VENEZUELA 2135;3.0;-58.3967447;-34.61512051;MOTO;OBJETO FIJO
225;2017-0101;1.0;2017.0;8.0;23.0;10.0;LACROZE, FEDERICO AV.;;ZAPATA;LACROZE, FEDERICO AV. y ZAPATA;13.0;-58.44537508;-34.57084818;PEATON;MULTIPLE
